#{"t_start": 1638379752.447189, "env_id": null}
r,l,t
40082.573408,287,75.755746
41759.653358,294,77.672376
41982.334931,291,78.343339
29960.936778,280,78.905268
32526.280779,292,79.413771
41370.089743,308,79.979119
34904.097528,320,80.540064
39994.752472,318,81.083034
34913.33148,277,82.655454
43856.312184,312,83.190991
32648.754922,293,83.691406
42830.22951,301,84.26238
37257.784732,312,84.946136
41900.542988,318,85.644254
29764.037081,296,86.23229
45728.813814,322,87.974221
41510.561491,298,88.50434
41296.624732,317,89.080836
32833.013593,312,89.601055
35349.415783,297,90.090587
39661.636405,308,90.611646
40001.40461,316,92.216316
43074.202602,319,92.77859
46199.313508,316,93.302418
34839.35685,322,93.868096
36852.018867,305,94.458964
38420.521938,303,95.087284
41761.978148,310,95.636368
37952.328961,322,97.556391
39914.707951,308,98.054244
43498.523143,314,98.57774
44941.340066,321,99.12337
41950.057311,310,99.646522
39337.104563,319,100.189534
39144.203672,304,101.931546
39446.135631,305,102.445485
45856.86243,315,102.976312
34544.261469,298,103.486737
36771.005727,320,104.170922
36422.11999,304,104.770796
34887.986375,311,105.369352
40005.206288,312,107.076876
36133.666528,312,107.620281
37663.906189,305,108.330136
46631.9056,307,109.10836
40055.485993,311,109.844926
40791.668721,313,110.487304
43191.707415,300,112.261153
41086.579191,294,112.762396
40665.085715,300,113.291066
47217.97479,318,113.841785
47343.984924,313,114.380497
39312.230937,312,114.920767
36751.702014,312,115.447882
43126.172927,310,117.047742
39544.166424,311,117.579833
37361.319179,320,118.117026
41045.286009,292,118.606549
39380.024414,307,119.141783
48607.530092,325,119.696859
44548.837703,311,120.255373
42638.167154,319,122.048008
42542.038974,313,122.608635
44813.475368,324,123.169181
43429.84736,310,123.712197
44199.059687,327,124.296905
40862.996138,304,124.809844
38063.299676,321,126.402714
39670.228566,303,126.907085
38935.103395,307,127.420141
44850.680669,309,128.038379
44955.109174,316,128.681237
48368.842565,325,129.229085
46645.993768,317,129.797835
43954.13716,333,132.14823
51001.2836,309,132.857309
48486.810057,301,133.523603
46406.303009,309,134.18416
46954.76872,321,134.923341
44486.980427,319,135.451305
41509.582718,317,137.10116
43728.743737,319,137.649283
47406.836034,307,138.21704
45137.347977,318,138.768419
38968.543968,322,139.364036
44356.629962,307,140.004452
46224.751564,320,140.721258
40271.120822,306,142.563753
42964.087752,308,143.095172
46905.288691,312,143.616001
45160.273738,324,144.181486
40620.025893,303,144.711961
42800.096891,303,145.248917
45973.878633,328,146.942756
45949.709077,312,147.475251
47798.93347,317,148.018576
50277.727732,320,148.559625
40936.781326,302,149.083861
37745.862804,300,149.709152
43953.577809,318,150.247048
44136.284693,310,151.957882
46875.810118,320,152.634111
39772.27482,321,153.323441
45819.70876,319,153.890532
48831.94613,314,154.587214
43612.465958,305,155.221644
42554.624968,310,156.958666
41856.027163,328,157.528358
48550.13199,322,158.086708
46615.34035,323,158.688705
42668.432326,318,159.257617
43379.479474,313,159.854231
43816.096004,309,160.436927
44757.665315,316,162.18177
47894.578661,326,162.757399
41533.823794,315,163.2975
41892.300074,311,163.843543
41732.278525,321,164.403992
43332.653169,321,164.961381
45692.194269,304,166.628873
44700.257929,308,167.185424
46042.431914,314,167.967318
47202.135622,315,168.799206
44385.875249,304,169.371845
36114.874226,310,169.909534
39509.04775,327,170.555601
46318.434954,314,172.42901
42374.203661,318,173.074043
48543.714397,321,173.809342
44655.18772,321,174.409096
46708.067497,316,174.954516
44779.440484,319,175.534359
50455.509202,327,177.783495
44023.863492,310,178.340913
41894.201663,299,178.893439
43655.838165,321,179.511969
46362.409442,324,180.106674
39353.649791,318,180.683909
48018.34627,324,181.28085
50220.239806,298,186.735704
44667.859315,327,187.39561
43781.063342,298,188.006421
47680.147521,314,188.709024
46739.182447,328,189.408047
44564.495691,326,190.083761
51117.530841,311,192.314568
43676.653532,292,193.003431
44505.551837,314,193.924205
44549.976063,310,195.21611
49002.628667,313,196.510384
46591.355197,305,197.181041
51734.354564,317,197.858197
50472.947033,321,200.304174
52104.67299,325,201.043447
49790.582153,315,201.605294
49846.226353,314,202.190322
44409.88001,310,202.792529
45732.467228,311,203.471879
41896.960021,316,205.616392
50623.562275,318,206.240269
50581.915555,316,206.855987
49648.90771,318,207.469858
39303.833115,294,208.049498
48336.367274,312,208.646691
51284.664748,312,209.348881
48539.634339,320,211.595806
50218.32128,312,212.205095
44244.867354,310,212.873165
52022.828419,327,213.564296
49378.632519,324,214.275987
47608.159346,307,214.969727
47069.338973,312,217.098059
46606.914817,323,217.756207
43223.879106,321,218.362014
40261.428532,328,219.015424
44531.800215,317,219.668846
40105.241432,311,220.272836
49350.017992,330,220.872313
40676.405944,327,223.346292
49377.163134,310,223.948762
42806.028428,318,224.556461
44738.413667,320,225.204718
50481.554022,319,225.85682
49004.80213,333,226.56588
42553.707401,316,228.787614
47454.81896,318,229.480993
48321.376107,329,230.108368
46738.405091,330,230.844677
45621.428728,326,231.79041
47535.270416,331,232.530009
50531.263614,314,234.438902
43093.179054,322,235.065003
49175.436495,329,235.679772
55211.250116,325,236.312728
48610.819362,326,236.934413
50034.035901,325,237.539975
45575.437767,307,238.424928
50514.070014,327,241.085226
