agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
PPO,124,0,53852.1655252308,0.45,0.0673323796948357,0.03854166021231681,0.07514975059537558,0.7684210526315789
PPO,125,0,156013.68729834922,0.24,0.07644086826347309,0.05141615492583762,0.09255840732347853,0.8571428571428571
PPO,126,0,107353.56177469577,0.63,0.04076828602620085,0.042218557366347165,0.07837774174359301,0.7695652173913043
PPO,127,0,41553.71481933807,0.73,0.031056757950530027,0.04136039269771887,0.07759206266751252,0.7640845070422535
PPO,128,0,161329.7255686077,0.44,0.09930160984848481,0.05196347185713563,0.16099226689902413,1.334841628959276
PPO,129,0,102523.06819362417,0.21,0.08880485372340423,0.05422132229921123,0.09407300475849072,0.8941798941798942
PPO,130,0,104158.50571391954,0.25,0.07136015325670497,0.042752929022562065,0.08677667438021244,0.8342857142857143
PPO,131,0,157482.2383871493,0.28,0.06754139957264961,0.0510704687897866,0.10153142281603955,0.8980891719745223
PPO,132,0,101744.72483751122,0.45,0.06565972222222223,0.042272939445554276,0.08694164465075273,0.8230088495575221
PPO,133,0,119252.3567987606,0.4,0.06896664915966383,0.035665179692413215,0.08467018881558641,0.8117154811715481
PPO,134,0,135842.37406540161,0.31,0.07025908119658113,0.05743513125674692,0.08883119003859793,0.8469387755102041
PPO,135,0,144092.85456072146,0.32,0.06437553972366138,0.03830353740213074,0.09567857201832902,0.8247422680412371
PPO,136,0,146555.96529882547,0.34,0.06350355691056908,0.04526075998580878,0.09234368629090961,0.8349514563106796
PPO,137,0,98449.10658063527,0.36,0.06991722470238101,0.046203521383531586,0.08869350455057988,0.8177777777777778
PPO,138,0,116104.09511922224,0.37,0.06907376126126123,0.051381213574684316,0.07762993095498646,0.8387096774193549
PPO,139,0,168023.48795034148,0.27,0.0597442680776014,0.05248444879512952,0.10515160164465882,0.8736842105263158
PPO,140,0,85163.19499217445,0.46,0.06200905054644815,0.046932374844500864,0.08518320285015744,0.7918367346938775
